,Star ID,RA,DE,Magnitude
272,27429,2.58510818,0.87365878,5.3
273,27437,2.59075061,1.00630943,6.0
274,27502,2.6236478,0.94482686,5.7
275,27669,2.73772682,0.98153269,4.8
276,27694,2.75742751,1.00078702,5.2
277,27723,2.77509155,0.94125418,5.7
278,27747,2.79505594,1.00290696,5.8
279,27790,2.82793911,0.99217556,5.8
280,27792,2.82860066,1.03997315,5.7
281,27814,2.83859522,0.95733782,5.4
282,27875,2.87472099,0.98874415,2.4
283,28016,2.98077068,0.97956187,5.9
284,28063,3.02089078,0.96100815,5.8
285,28080,3.03331978,0.88828959,6.0
286,28141,3.07291541,0.97575027,5.4
287,28178,3.10323658,0.94200258,2.5
288,28190,3.11266769,0.99268757,5.9
289,28314,-3.08504515,1.0002528,3.4
290,28326,-3.07600078,0.93321805,6.0
291,28345,-3.06116642,1.01477481,5.7
292,28365,-3.04734043,0.90476196,5.0
293,28374,-3.0426756,0.99579242,6.0
294,28393,-3.03157909,0.9771986,5.8
295,28404,-3.02104457,1.02417007,5.4
296,28443,-2.99271606,1.04304425,5.5
297,28552,-2.91542095,0.98141386,1.7
298,28571,-2.90550923,0.9489296,6.0
299,28600,-2.8859491,0.98847585,4.9
300,28737,-2.784105,0.96311452,4.0
301,28802,-2.73928945,0.97047617,5.5
302,28831,-2.71584619,0.92805187,5.3
303,28865,-2.69664473,0.91307215,5.8
304,28884,-2.68462508,0.95438148,5.5
305,28927,-2.65285165,0.94202343,5.6
306,29070,-2.5551858,0.90054107,4.9
307,29136,-2.51548414,0.90898842,4.1
308,29164,-2.50066469,0.87384937,5.6
309,29226,-2.4580103,0.94664516,5.5
310,29314,-2.39909853,1.03841122,5.7
311,29406,-2.33504306,0.95553446,5.2
312,29486,-2.27498032,0.90997681,5.5
313,29519,-2.25229351,1.03219819,3.5
314,29599,-2.19428203,0.88288358,5.9
315,29627,-2.17519038,0.91661168,5.5
316,29726,-2.10923039,0.95801724,5.0
317,29764,-2.09026238,1.02447768,4.1
318,29873,-2.02276737,1.04502825,5.6
319,29930,-1.99262233,0.96548351,5.7
320,30011,-1.94165857,0.92502213,5.6
321,30025,-1.93298006,0.97935122,5.4
322,30075,-1.90090767,0.99257985,4.9
323,30238,-1.81388018,0.95182476,5.1
324,30428,-1.70474969,0.91346485,3.0
325,30446,-1.69651144,0.96373237,5.0
326,30537,-1.6452317,0.93937174,5.7
327,30590,-1.62370081,0.88648948,5.2
328,30630,-1.60281583,0.99274173,3.9
329,30652,-1.59068027,0.89874048,2.4
330,30948,-1.46966373,1.02575182,4.9
331,31038,-1.43243113,0.99495703,5.0
332,31118,-1.38900726,0.96845232,5.1
333,31164,-1.37183053,0.92384355,5.8
334,31217,-1.35061016,1.03544741,4.9
335,31240,-1.34396234,0.88392549,5.0
336,31310,-1.31348766,0.88072451,5.2
337,31322,-1.31016215,0.97016032,5.5
338,31370,-1.29243791,0.93059627,5.4
339,31496,-1.25215513,1.00562827,5.3
340,31536,-1.23941749,0.92983327,4.0
341,31672,-1.1946458,0.91137385,5.7
342,31736,-1.17810851,0.87613395,5.7
343,31781,-1.16485826,0.89236149,5.6
344,32041,-1.09356425,0.9225888,5.2
345,32084,-1.08095192,1.00167835,5.0
346,32285,-1.0257572,0.92532514,5.7
347,32377,-0.9938096,0.98461266,4.3
348,32808,-0.86975166,0.87545303,5.4
349,32861,-0.85472925,1.00181472,4.6
350,33209,-0.7394499,1.04336457,5.6
351,33664,-0.609487,0.88943482,4.8
352,33692,-0.60224759,1.02189343,4.0
353,33989,-0.52188821,1.00807857,5.5
354,34136,-0.48382447,1.01149345,3.6
355,34142,-0.48338035,0.88271394,5.4
356,34148,-0.48079777,1.03266604,5.2
357,34394,-0.42940066,0.90718816,4.6
358,34507,-0.40444158,1.01506294,4.0
359,34541,-0.39607643,0.87310076,3.9
360,34627,-0.36951434,0.89511998,4.8
361,34857,-0.31546658,0.97105456,5.6
362,35038,-0.27065714,0.98920007,5.5
363,35185,-0.22869384,1.03081652,5.6
364,35235,-0.2143937,0.99295345,5.6
365,35284,-0.19889052,0.92404028,5.6
366,35477,-0.14087904,1.01705814,4.9
367,35641,-0.10163517,0.87606249,5.3
368,35762,-0.06718833,1.01880774,5.1
369,35937,-0.01805796,0.89203962,4.8
370,36122,0.03365169,0.7992587,5.1
371,36172,0.04760037,0.71138733,5.7
372,36389,0.11140495,0.77000824,5.2
373,36508,0.14856083,0.7716648,5.4
374,36616,0.18173256,0.83061087,5.5
375,36698,0.205282,0.71221665,4.4
376,36949,0.28419865,0.76229616,5.2
377,36971,0.29054831,0.81988199,4.3
378,37154,0.34638263,0.79006629,5.0
379,37274,0.38000945,0.81594225,5.3
380,37361,0.40950821,0.71831028,4.2
381,37374,0.41412562,0.84431592,3.8
382,37405,0.42036132,0.77025957,5.2
383,37417,0.42594005,0.70379757,4.9
384,37418,0.42609255,0.75128667,5.5
385,37586,0.48118867,0.70657842,5.6
386,37734,0.52723248,0.73464472,5.1
387,37866,0.56755649,0.76791447,5.1
388,38287,0.701497,0.85553349,4.2
389,38591,0.80680434,0.711476,2.9
390,38596,0.80915711,0.86261264,4.2
391,38608,0.81206941,0.7796299,4.0
392,38703,0.84829583,0.7652018,5.4
393,38923,0.91177484,0.8009185,5.4
394,39052,0.95711246,0.83129228,3.1
395,39077,0.96773279,0.74041046,3.9
396,39084,0.9707525,0.79459285,5.6
397,39335,1.06910951,0.83044598,4.0
398,39403,1.09614008,0.84272122,4.3
399,39408,1.09728225,0.70439758,4.9
400,39482,1.1254219,0.809508,4.9
401,39638,1.1921417,0.71844816,4.5
402,39698,1.21890211,0.75523805,5.3
403,39825,1.26212897,0.74183732,5.6
404,39954,1.30190873,0.76360753,3.5
405,39965,1.30453764,0.71567124,3.9
406,40076,1.33948115,0.8186046,5.6
407,40185,1.36568131,0.80196929,0.2
408,40232,1.37715285,0.69912319,4.9
409,40289,1.39331045,0.71527496,5.6
410,40582,1.49236139,0.86929323,5.5
411,40755,1.55431454,0.80170958,4.6
412,40777,1.5584986,0.83603162,5.7
413,41075,1.66263556,0.86072323,5.1
414,41238,1.72683626,0.74237643,5.1
415,41287,1.74291096,0.7779762,5.2
416,41329,1.75901599,0.7614762,5.3
417,41345,1.76212776,0.85250001,5.3
418,41379,1.77688482,0.7302859,5.0
419,41462,1.80629471,0.78821357,4.8
420,41643,1.88551003,0.82607985,5.5
421,41678,1.89613887,0.71513489,5.8
422,41680,1.89690412,0.86491774,4.8
423,41707,1.90972262,0.79103223,5.6
424,41737,1.92283782,0.71158126,5.3
425,41796,1.9422853,0.8427779,5.6
426,41807,1.94666462,0.86878898,5.4
427,41878,1.97615945,0.80795717,5.8
428,41892,1.98171433,0.85324634,5.9
429,42057,2.05546344,0.83245593,5.7
430,42318,2.1791275,0.75660426,4.4
431,42489,2.25832618,0.80304291,5.5
432,42575,2.30644942,0.76644748,5.2
433,42610,2.32682803,0.70501184,5.9
434,42611,2.32764019,0.79979762,5.9
435,42629,2.33784135,0.84193738,3.1
436,42641,2.34485532,0.73272699,4.1
437,42660,2.35715922,0.82651419,3.7
438,42681,2.36475126,0.85050753,5.6
439,42758,2.40218901,0.75791369,5.3
440,42789,2.41804191,0.82077608,5.7
441,42875,2.46701221,0.79974303,5.6
442,43045,2.55417614,0.80730268,5.2
443,43114,2.59455994,0.72072804,5.2
444,43267,2.67946969,0.75336914,3.5
445,43343,2.72494831,0.73054504,5.8
446,43378,2.75029573,0.71005923,4.8
447,43443,2.79522538,0.81100554,5.3
448,43511,2.84099657,0.75846172,4.8
449,43556,2.86527418,0.71030911,5.1
450,43561,2.86836574,0.79926854,5.7
451,43626,2.90967898,0.75885234,6.0
452,43628,2.90972443,0.78138686,3.1
453,43674,2.94039306,0.8682917,6.0
454,43718,2.96744894,0.76370915,5.1
455,43786,3.00117772,0.75830876,5.9
456,43836,3.03549773,0.7662487,5.5
457,43885,3.0692364,0.83874784,3.9
458,44001,3.13975913,0.75612923,5.1
459,44096,-3.08214499,0.7145091,5.9
460,44126,-3.06586834,0.85977479,5.6
461,44154,-3.04853097,0.74734053,6.0
462,44229,-3.00470873,0.72656166,4.3
463,44316,-2.95490903,0.7978476,5.4
464,44382,-2.91181052,0.82846465,6.0
465,44464,-2.86397891,0.79474406,5.7
466,44530,-2.8218207,0.71765704,5.7
467,44555,-2.80946406,0.87169684,5.1
468,44569,-2.8009174,0.70533026,5.7
469,44610,-2.77449573,0.80787175,5.9
470,44667,-2.73836436,0.85994239,4.6
471,44741,-2.68735616,0.72149909,5.7
472,44751,-2.68094978,0.86502459,1.9
473,44900,-2.59211683,0.7695435,5.4
474,44904,-2.5899812,0.86732038,5.4
475,44964,-2.55480067,0.80838774,4.3
476,45120,-2.47439131,0.86543232,5.9
477,45144,-2.45947747,0.76544871,5.9
478,45189,-2.43560522,0.70982686,5.8
479,45225,-2.4106145,0.80850225,5.8
480,45287,-2.37922162,0.8697363,5.7
481,45336,-2.35592804,0.70837484,3.6
482,45369,-2.33973283,0.84375107,5.6
483,45496,-2.2734397,0.7786755,5.9
484,45579,-2.22908492,0.71562979,5.1
485,45642,-2.19898817,0.707125,5.4
486,45649,-2.19620677,0.81963469,5.8
487,45789,-2.12134225,0.74544094,5.6
488,45862,-2.08938855,0.8268779,5.8
489,45864,-2.08899214,0.80589943,4.6
490,45910,-2.06301524,0.78653389,4.3
491,46027,-2.01482946,0.81038352,3.9
492,46107,-1.97659686,0.73287694,5.0
493,46146,-1.96227585,0.79767103,5.5
494,46160,-1.95263625,0.74244891,4.3
495,46209,-1.93126157,0.85565397,5.1
496,46304,-1.8859558,0.80406378,4.9
497,46523,-1.79799092,0.71276886,5.1
498,46644,-1.74996622,0.80789604,5.8
499,46663,-1.74496338,0.69852673,5.7
500,46722,-1.72172614,0.84301434,5.8
501,46791,-1.69500908,0.72043357,5.8
502,46837,-1.67849288,0.84847242,5.5
503,46871,-1.66656661,0.80341035,3.8
504,47036,-1.60713712,0.69841672,5.1
505,47120,-1.57731592,0.7941731,5.9
506,47236,-1.54474227,0.75842303,5.1
507,47341,-1.50932037,0.73550361,5.4
508,47416,-1.4823802,0.85687885,5.1
509,47908,-1.33837555,0.72496905,5.6
510,47918,-1.33599659,0.7658384,4.3
511,48010,-1.30889578,0.81791438,5.1
