Star ID,RA,DE,Magnitude
55426,0.58614054,0.5867286,4.1
55927,0.73049782,0.66521731,4.3
55945,0.73489525,0.60834033,4.7
56046,0.76600139,0.68877805,4.6
56137,0.79396446,0.67453514,3.7
56223,0.82053506,0.68806401,4.8
56339,0.8534455,0.59413102,4.9
56672,0.96506513,0.56080081,3.9
56798,1.00785195,0.55391199,2.9
56839,1.02315798,0.69581691,3.0
56855,1.02849527,0.62219291,4.0
57521,1.28165215,0.57750977,2.9
57754,1.35264159,0.67068286,4.8
57852,1.3739805,0.58156795,4.8
58163,1.43758728,0.56124689,4.9
58464,1.5084358,0.68358002,4.6
58501,1.51853434,0.68305143,4.2
58635,1.55469764,0.64945665,2.7
59569,1.78675698,0.59382195,3.6
59857,1.86732086,0.52934212,4.5
60117,1.94559481,0.55650948,4.2
60197,1.96965163,0.55850085,1.6
60246,1.98926033,0.60564452,4.9
61253,2.37083424,0.67462919,4.7
61390,2.42486905,0.64604119,3.8
61413,2.43479722,0.60397395,3.3
61569,2.49218248,0.63915111,4.6
61873,2.63756796,0.61940489,4.5
62037,2.7185831,0.59430934,4.8
62052,2.72706882,0.64514583,4.4
62172,2.77468606,0.5626335,4.8
62296,2.83843123,0.60187495,3.9
62483,2.94750928,0.5552032,3.9
62485,2.9486572,0.58237061,3.7
62490,2.95140427,0.67125547,4.8
63256,-2.90732015,0.67348775,2.9
63647,-2.72602975,0.63789341,4.9
64052,-2.54869325,0.62377035,4.8
64201,-2.48851618,0.5338969,3.8
64202,-2.48681514,0.67240807,3.0
64588,-2.29735384,0.58469112,3.5
64685,-2.25758375,0.65539775,4.5
64768,-2.22131718,0.55024641,4.2
64947,-2.14088186,0.62502737,4.8
65107,-2.06323581,0.63908435,4.9
65253,-2.00648744,0.54117332,4.7
65484,-1.92248111,0.55313421,3.0
65503,-1.91471497,0.68096348,3.6
65715,-1.83968821,0.54103229,3.9
65889,-1.7745481,0.64340511,3.4
65912,-1.76506609,0.57862542,4.6
65920,-1.76302318,0.65175472,4.8
66000,-1.73679582,0.64910225,4.5
66484,-1.59463584,0.65024025,4.0
66523,-1.58568579,0.52695504,4.5
66868,-1.49178723,0.62903295,4.3
67173,-1.41701427,0.67607113,0.1
67314,-1.38438606,0.69044251,4.5
67320,-1.38295969,0.65540158,4.3
67450,-1.36034342,0.58125529,3.9
67451,-1.36034291,0.58125549,3.8
67558,-1.34061597,0.64287715,4.5
67662,-1.32177463,0.56932281,3.3
68009,-1.2563978,0.68170665,4.5
68064,-1.2451573,0.66398642,4.5
68446,-1.17848092,0.59944303,4.9
68636,-1.14580763,0.52424411,4.8
68942,-1.09675878,0.57223427,4.2
69100,-1.07305714,0.66938298,4.9
69115,-1.07150663,0.60998404,4.0
69517,-1.01417505,0.64038598,4.8
69772,-0.9776389,0.66107036,4.9
69949,-0.95180919,0.55898964,4.6
70094,-0.92785688,0.52710083,4.1
70202,-0.90776086,0.61223857,4.9
70466,-0.85697309,0.53295801,4.3
70473,-0.85439916,0.58960689,2.6
70504,-0.84884589,0.63366094,4.5
71069,-0.73824831,0.52396486,3.4
71120,-0.7295797,0.66027881,3.8
71164,-0.71798838,0.68389515,4.3
71172,-0.71619913,0.60538621,4.4
72076,-0.48972571,0.57477556,4.4
72154,-0.47242376,0.68881576,4.6
72190,-0.46344491,0.65448422,4.2
72574,-0.36209967,0.67700565,4.9
73764,0.02529571,0.50290751,2.1
74163,0.156674,0.50685389,4.5
74266,0.1949655,0.41880121,4.3
74387,0.23793835,0.40401216,4.6
74543,0.30002472,0.36249354,4.9
74545,0.30063107,0.52053994,4.7
74570,0.30991645,0.42445283,4.6
74636,0.33471801,0.47127182,4.7
74995,0.48094294,0.51201241,3.6
75011,0.48813515,0.3589177,2.7
75050,0.50237682,0.40758892,4.8
75150,0.5425732,0.405387,2.2
75531,0.70036071,0.47988938,4.6
75577,0.71961875,0.50685651,4.6
75595,0.72882304,0.47221119,3.7
75672,0.76945932,0.36899126,4.6
75870,0.86091733,0.50385314,4.7
76130,0.96822541,0.41814123,3.8
76139,0.96964473,0.42432304,4.4
76154,0.97234882,0.42259759,4.0
76171,0.97456241,0.4152865,4.3
76198,0.97959689,0.41804306,3.0
76227,0.98691316,0.41717083,3.8
76429,1.05476537,0.38304649,4.5
76531,1.10970907,0.35704443,4.8
76600,1.14486931,0.38713313,4.4
76607,1.14891244,0.39622247,4.4
76720,1.21841458,0.39903075,4.3
76919,1.30944949,0.37560087,4.7
77167,1.40991406,0.49859083,1.8
77183,1.41646196,0.38215841,4.8
77335,1.46020522,0.36850688,3.0
77674,1.52796189,0.48175199,4.5
77704,1.53335874,0.35375574,4.6
77774,1.54850143,0.45290611,4.9
77910,1.57493828,0.35153336,4.7
77914,1.57550683,0.4061018,4.3
78134,1.62253865,0.39310322,3.7
78142,1.62399113,0.51519327,4.5
78296,1.65777889,0.39341651,3.2
78422,1.68421561,0.35335189,4.1
78681,1.74906448,0.43951715,3.2
79030,1.83758641,0.36033025,3.9
79293,1.90737326,0.38530121,3.5
79373,1.93130682,0.48693314,3.9
79532,1.97590202,0.47138914,4.2
79637,2.00795637,0.50625481,4.3
79652,2.01337235,0.42794736,3.7
79665,2.01698372,0.49128648,1.2
80377,2.27065169,0.37785806,4.7
80415,2.28496427,0.50517193,4.2
80806,2.45108056,0.46074423,4.6
80884,2.48216713,0.40473318,4.5
81003,2.54388983,0.41897414,3.1
81063,2.57402861,0.45803296,4.1
81264,2.6786992,0.41307066,3.6
81297,2.69312449,0.35072808,2.6
81298,2.69314492,0.35071271,3.8
81582,2.84885434,0.43662708,4.5
81636,2.87832109,0.35689157,4.4
81726,2.9297595,0.36299295,2.6
81735,2.93454112,0.40785426,4.9
81997,3.07792167,0.35773786,4.5
82272,-3.05435418,0.45593968,4.8
82312,-3.03491885,0.49822397,4.6
82389,-3.00039296,0.39975521,4.8
82658,-2.85893549,0.48681747,4.9
82705,-2.83816396,0.49098061,4.3
83202,-2.58257344,0.44205234,4.8
83415,-2.47617562,0.52292581,4.5
83487,-2.43812002,0.46669144,4.9
83499,-2.43123368,0.47619689,2.7
83623,-2.35655874,0.43990631,4.9
83644,-2.34615201,0.47371024,4.7
83830,-2.24377026,0.51098034,3.7
83892,-2.21408512,0.46917723,2.3
83957,-2.17886437,0.46168986,3.9
84018,-2.14895736,0.45762955,4.7
84036,-2.14209872,0.36873547,4.9
84097,-2.1139627,0.47161429,4.2
84151,-2.09684488,0.52342143,4.9
84154,-2.09378373,0.40041227,4.8
84410,-1.97192352,0.37694341,2.8
84950,-1.77597759,0.43453259,3.2
85162,-1.70729947,0.45635265,4.5
85396,-1.63842797,0.48430657,3.5
85589,-1.58903428,0.51054439,3.8
85749,-1.54640404,0.50185871,3.8
85768,-1.5419176,0.36311992,4.3
86002,-1.4766982,0.37953329,3.9
86405,-1.3809546,0.35774266,4.3
86417,-1.37855594,0.46438635,4.9
86566,-1.3411288,0.39410431,4.6
87009,-1.24762149,0.37177031,4.6
87135,-1.21824679,0.45666952,4.9
87158,-1.21233485,0.51526226,4.9
87260,-1.19283,0.42869601,4.6
87300,-1.18375341,0.48613451,3.2
87812,-1.09556941,0.39237906,4.9
87882,-1.08500646,0.4179714,4.5
88070,-1.05138611,0.48196026,4.7
88409,-0.98984414,0.44397904,4.8
88427,-0.98744147,0.48275424,4.7
88943,-0.8888636,0.36694903,4.8
89227,-0.82909356,0.46964764,4.8
89751,-0.66461708,0.40873526,4.8
89939,-0.60255703,0.49770008,4.7
89948,-0.60048692,0.44356559,4.3
90237,-0.5031758,0.43808108,4.0
90439,-0.44065149,0.490055,4.9
90716,-0.35166006,0.50695086,4.9
90733,-0.34621048,0.52288814,3.1
90774,-0.33109091,0.40669764,4.1
90815,-0.31596342,0.4247633,3.7
90980,-0.25592563,0.48539764,2.6
91185,-0.18256834,0.40956682,4.6
91252,-0.16196662,0.40367139,4.6
91610,-0.0209166,0.43395052,4.8
91780,0.0465019,0.26015379,2.9
91791,0.05240802,0.34782284,4.9
92483,0.38747743,0.26334783,3.7
92679,0.48337295,0.33251484,4.8
92680,0.48337418,0.3324749,4.8
93327,0.8236416,0.34101901,4.5
93468,0.90804406,0.22282182,4.3
93718,1.03806207,0.21555849,4.0
93867,1.1211305,0.27067448,3.9
93896,1.13467084,0.30415664,3.9
93906,1.13974211,0.30246163,4.8
93922,1.14577812,0.31093622,4.2
93931,1.14970692,0.27063783,4.6
93934,1.15094844,0.25485821,4.9
93953,1.15930478,0.33285543,3.6
93954,1.1593991,0.2766839,4.0
93956,1.15978729,0.27509201,3.6
93974,1.16804066,0.28076826,4.8
94006,1.18249257,0.25727826,4.8
94025,1.19076907,0.17557654,4.4
94026,1.19139783,0.28641585,1.1
94043,1.20148161,0.21663322,4.3
94053,1.20607234,0.2761218,4.9
94200,1.27470414,0.17580571,4.7
94217,1.28088428,0.23452203,4.3
94289,1.31645422,0.26766651,4.6
94358,1.33881909,0.27113894,4.9
94627,1.43675214,0.32391367,4.7
94758,1.47656492,0.28815042,4.9
94887,1.51293184,0.22055944,4.9
95258,1.59137296,0.25789334,4.4
95361,1.6104849,0.24821728,4.4
