Star ID,Ra,De,Magnitude
29165,3.79011381,0.86995592,5.6
29227,3.8321017,0.94288601,5.5
29315,3.8896407,1.03487519,5.7
29407,3.95438536,0.95218784,5.2
29487,4.01463187,0.90684714,5.5
29520,4.03576541,1.02915138,3.5
29588,4.08385963,0.95348195,5.7
29628,4.11394401,0.91387117,5.5
29655,4.13023397,0.96821665,5.9
29668,4.13482681,0.96650662,5.8
29698,4.15509204,0.97436123,5.9
29727,4.17914835,0.95556418,5.0
29737,4.18473639,0.87058817,5.9
29765,4.19703158,1.02215692,4.1
29874,4.26408473,1.04292101,5.6
29931,4.29535245,0.96351105,5.7
30012,4.34670258,0.92328174,5.6
30026,4.35463204,0.97765772,5.4
30076,4.38643376,0.99103111,4.9
30239,4.47384298,0.95068729,5.1
30354,4.54552067,0.9323608,6.0
30429,4.58337693,0.91283178,3.0
30447,4.59098235,0.96314783,5.0
30538,4.64252243,0.93901831,5.7
30591,4.66470244,0.88629637,5.2
30631,4.68415195,0.99261485,3.9
30653,4.69758095,0.8986519,2.4
30784,4.75832714,0.94748214,5.9
30949,4.81671204,1.02626494,4.9
31039,4.8545203,0.99563539,5.0
31051,4.86050329,0.91374434,5.4
31119,4.89840748,0.96934675,5.1
31219,4.93580276,1.03652302,4.8
31241,4.94463289,0.88502495,5.0
31311,4.97519506,0.88197479,5.2
31323,4.97734247,0.97142122,5.5
31371,4.99565388,0.93194881,5.4
31468,5.02513504,0.99237967,5.2
31497,5.03492626,1.00714234,5.3
31537,5.04881239,0.93145585,4.0
31702,5.10380517,0.90285499,3.9
31782,5.12398111,0.89424659,5.6
31815,5.13319244,0.87652151,4.6
31822,5.13485938,0.87615199,5.6
32042,5.19509789,0.92481584,5.2
32085,5.2067108,1.0039769,5.0
32114,5.21691814,0.91523233,4.8
32122,5.21819732,1.02705621,5.1
32378,5.29444785,0.98729329,4.3
32627,5.36449511,0.97857867,5.9
32809,5.42016668,0.87860025,5.4
32862,5.43387319,1.00495661,4.6
33034,5.49124972,0.88073023,5.5
33665,5.68145825,0.89342905,4.8
33693,5.68762377,1.02590502,4.0
34137,5.80694946,1.0158031,3.6
34143,5.80830413,0.88703446,5.4
34149,5.80981616,1.03697879,5.2
34151,5.81111992,0.99203225,5.4
34227,5.8251811,0.99559743,4.2
34395,5.86238781,0.91156845,4.6
34508,5.88686867,1.0195366,4.0
34542,5.89612175,0.87759562,3.9
34628,5.92265868,0.89963331,4.8
35039,6.02175673,0.99388846,5.5
35147,6.05024647,1.03707202,4.9
35361,6.11974199,1.04952587,5.9
35478,6.15242851,1.02187224,4.9
35642,6.19216304,0.88089667,5.3
35763,6.22671867,1.02366911,5.1
35879,6.25868161,1.00355477,4.8
35938,6.27626479,0.8968993,4.8
35947,6.27886067,0.97310697,4.9
36123,0.04503386,0.8041128,5.1
36173,0.05896915,0.71620332,5.7
36390,0.12317334,0.7748301,5.2
36509,0.16046564,0.77647279,5.4
36602,0.18966733,0.82073502,5.0
36617,0.19390281,0.83538691,5.5
36620,0.19515195,0.84272127,4.7
36699,0.21735487,0.71696157,4.4
36950,0.29677084,0.76693622,5.2
36972,0.30326361,0.82452505,4.3
36984,0.3067939,0.73446058,5.7
37155,0.3592777,0.79462659,5.0
37228,0.38246883,0.79249739,5.0
37275,0.39314959,0.8204309,5.3
37362,0.42235739,0.72266114,4.2
37375,0.42757476,0.84872244,3.8
37406,0.43349608,0.77468417,5.2
37418,0.43886166,0.7082023,4.9
37419,0.43922709,0.75568805,5.5
37434,0.44412484,0.74374578,5.1
37587,0.49432044,0.71086911,5.6
37734,0.54061406,0.73879283,2.3
37867,0.58128962,0.77198967,5.1
37948,0.60772314,0.82693685,5.1
37960,0.61509592,0.87530817,5.6
37986,0.62324108,0.7224997,5.9
38005,0.630128,0.87277865,5.5
38288,0.71645693,0.85919936,4.2
38592,0.8210415,0.71481142,2.9
38597,0.82495969,0.86591646,4.2
38609,0.82683192,0.78290792,4.0
38714,0.8688569,0.87432206,5.1
38750,0.87895996,0.75624496,5.0
38787,0.89152662,0.87024206,1.9
38849,0.90779549,0.85630769,4.9
38872,0.91354147,0.86409327,4.7
38890,0.91880546,0.83767523,4.5
38980,0.9446151,0.84112076,4.3
39053,0.97269308,0.83405023,3.1
39078,0.98259419,0.74313521,3.9
39195,1.0296087,0.83551006,5.3
39336,1.08499004,0.83274075,4.0
39404,1.11220023,0.84490211,4.3
39409,1.11216365,0.70657463,4.9
39483,1.14123662,0.81155662,4.9
39639,1.20728293,0.72020551,4.5
39688,1.22784706,0.84301109,5.7
39699,1.23440797,0.75686475,5.3
39799,1.27040495,0.85068303,5.8
39955,1.31758832,0.76486,3.5
39966,1.3198094,0.71690805,3.9
40026,1.33742253,0.7196776,3.3
40077,1.35574987,0.819644,5.6
40186,1.38181775,0.80281742,0.2
40233,1.39251574,0.69986059,4.9
40269,1.40414844,0.7296298,5.1
40466,1.46723358,0.83279297,6.0
40583,1.50927587,0.86963275,5.5
40750,1.56874069,0.78448051,2.1
40756,1.57051424,0.80174904,4.6
40778,1.57505798,0.8360467,5.7
40801,1.58306446,0.87101602,6.0
40840,1.59286209,0.75017233,5.9
41076,1.67943536,0.86023696,5.1
41239,1.74241252,0.74157004,5.1
41288,1.75878123,0.77709946,5.2
41330,1.7747339,0.76056974,5.3
41346,1.77874962,0.85153853,5.3
41380,1.79230384,0.72922348,5.0
41463,1.82220322,0.78704255,4.8
41644,1.90169185,0.8244947,5.5
41681,1.91345791,0.86332673,4.8
41708,1.92550075,0.7893843,5.6
41738,1.93793077,0.70986574,5.3
41764,1.94915724,0.85890547,4.5
41797,1.95852107,0.84096581,5.6
41808,1.96320343,0.86694916,5.4
41879,1.99197496,0.80599843,5.8
41934,2.01239895,0.84005373,5.8
42058,2.07131916,0.83015912,5.7
42319,2.19403529,0.75377474,4.4
42490,2.27336815,0.79995382,5.5
42576,2.3210589,0.76317266,5.2
42612,2.34237446,0.79642772,5.9
42630,2.3527367,0.8384841,3.1
42642,2.35898636,0.72924632,4.1
42661,2.37201365,0.82303769,3.7
42682,2.3797648,0.84701372,5.6
42759,2.4164234,0.75429324,5.3
42790,2.43264122,0.81711564,5.7
42876,2.48127213,0.79589768,5.6
42958,2.52358116,0.7023139,5.2
43046,2.56820742,0.80321807,5.2
43115,2.60788864,0.71655632,5.2
43268,2.69259209,0.74899729,3.5
43310,2.71542281,0.7243033,3.2
43379,2.76299431,0.70555648,4.8
43444,2.8080094,0.80640941,5.3
43512,2.85352213,0.75380698,4.8
43557,2.87746391,0.70564103,5.1
43562,2.88086061,0.79458456,5.7
43627,2.92186508,0.75411503,6.0
43629,2.92195642,0.77664558,3.1
43675,2.95264905,0.86352356,6.0
43719,2.97939361,0.75891779,5.1
43787,3.012956,0.75351478,5.9
43837,3.04709616,0.76140716,5.5
43886,3.0807264,0.8339078,3.9
44002,3.15081657,0.75128948,5.1
44097,3.21195538,0.70965364,5.9
44127,3.22804027,0.8549347,5.6
44155,3.24537037,0.74250951,6.0
44230,3.28882158,0.72182362,4.3
44317,3.33851314,0.79308295,5.4
44383,3.38132453,0.82373936,6.0
44465,3.42901057,0.79008578,5.7
44519,3.4632404,0.70079919,5.0
44531,3.47116543,0.71305679,5.7
44549,3.47993593,0.70812618,4.7
44556,3.48299142,0.86711685,5.1
44570,3.49203659,0.70075881,5.7
44668,3.55372925,0.85548952,4.6
44742,3.60508993,0.71713349,5.7
44752,3.61082733,0.86068032,1.9
44901,3.69978931,0.76540547,5.4
44905,3.70135371,0.86320901,5.4
44965,3.73667902,0.80439307,4.3
45121,3.8164253,0.86164084,5.9
