Star ID,Ra,De,Magnitude
9804,5.37744989,1.23101432,6.7
9827,5.3931028,1.38632133,6.8
9911,5.47484043,1.32515069,6.2
9917,5.48122601,1.32155221,6.9
9957,5.52565954,1.24672238,6.0
9959,5.52173546,1.36356301,5.9
10007,5.56630761,1.34411641,6.2
10034,5.59533789,1.34547636,6.7
10037,5.59682367,1.33613598,6.9
10057,5.62284202,1.23151726,3.3
10069,5.63298624,1.23609832,6.9
10126,5.68070478,1.24462018,4.9
10131,5.68570165,1.26222478,5.4
10186,5.72809272,1.28634824,6.4
10190,5.72562373,1.38844205,6.8
10208,5.7502091,1.30893973,6.6
10216,5.75631128,1.27722996,5.1
10265,5.80237808,1.26259305,5.0
10267,5.80433408,1.2585752,6.4
10284,5.81579122,1.27945128,6.1
10312,5.83960748,1.33497035,6.6
10351,5.86294937,1.36560601,6.5
10366,5.87307838,1.23519046,5.7
10375,5.87612711,1.37507137,5.8
10402,5.88997114,1.37574284,5.5
10414,5.90038857,1.33040209,5.7
10418,5.90481363,1.22825607,6.3
10425,5.91565642,1.28531646,5.2
10440,5.92197313,1.31548544,6.1
10566,6.01180304,1.27641717,6.6
10620,6.04878846,1.31914084,6.7
10629,6.05584912,1.31576179,4.6
10664,6.08518541,1.29557928,5.7
10671,6.08958095,1.23723283,5.6
10684,6.0969426,1.31421862,6.4
10732,6.13569764,1.23369578,6.7
10737,6.14040327,1.22800978,5.6
10754,6.14775845,1.31292921,6.5
10774,6.16316214,1.25665136,6.6
10790,6.17403932,1.25039082,6.1
10814,6.19231503,1.31410692,6.0
10817,6.19310007,1.29159126,6.1
10818,6.19307279,1.3549406,3.4
10874,6.24810528,1.35436498,6.5
10879,6.25010768,1.31850171,6.5
10893,6.26058838,1.29870018,6.6
10934,0.00722814,1.28477705,6.5
10937,0.01135409,1.15364421,6.0
10942,0.01495922,1.11076196,6.3
10948,0.01686068,1.16434725,6.6
10954,0.01844457,1.08712811,6.0
10956,0.02050478,1.17227885,5.8
10962,0.02226473,1.07013263,5.9
10978,0.02811282,1.12043481,5.5
10999,0.03726409,1.10312328,6.6
11044,0.0576307,1.08281749,6.6
11074,0.06946054,1.06465366,6.6
11084,0.07396705,1.07395835,5.8
11130,0.09471466,1.18373379,6.7
11157,0.10420081,1.0639931,6.8
11172,0.10817311,1.07915628,5.4
11243,0.13710536,1.1609855,6.1
11256,0.14398712,1.09836673,4.2
11265,0.15016297,1.16501372,6.4
11291,0.15906647,1.05289115,5.8
11336,0.18351832,1.15449332,5.9
11360,0.19549826,1.17213409,6.9
11366,0.196524,1.09132636,6.8
11380,0.20355222,1.20995076,6.4
11424,0.22133582,1.1213308,5.5
11430,0.22372198,1.07871456,6.4
11444,0.23155778,1.06681665,4.9
11481,0.2483909,1.20036881,6.4
11482,0.2474378,1.05970623,2.8
11484,0.24776992,1.05352878,5.5
11491,0.25013579,1.07201914,6.6
11502,0.25533163,1.15806251,6.0
11526,0.26836306,1.21053366,6.7
11551,0.27757724,1.06596052,5.9
11557,0.28067731,1.0747788,5.9
11571,0.28963855,1.09539715,6.4
11612,0.30829467,1.20041603,5.3
11614,0.30911868,1.18299115,6.6
11615,0.31165595,1.12055199,5.5
11617,0.31280845,1.13479194,5.5
11637,0.31924545,1.07696938,6.3
11681,0.34170194,1.18361956,6.7
11712,0.35380893,1.12850119,6.3
11751,0.37495737,1.18909272,5.0
11776,0.39172344,1.13746564,6.9
11788,0.39650005,1.15362913,6.2
11804,0.40380141,1.222068,6.9
11834,0.41258325,1.20337538,6.7
11846,0.41628517,1.1009822,6.8
11875,0.42665352,1.12991952,6.6
11883,0.42852393,1.08825114,6.6
11919,0.44655151,1.18757487,5.5
11920,0.44527633,1.06531751,6.6
11931,0.44930251,1.0720107,6.5
11941,0.4508536,1.05681761,5.8
11983,0.47013701,1.11443272,5.7
12006,0.48557074,1.13192136,6.9
12031,0.49914308,1.11125244,3.4
12038,0.50614163,1.19878206,5.0
12065,0.51729036,1.07683208,6.0
12076,0.52199889,1.12785838,5.2
12095,0.53615693,1.13274404,5.9
12097,0.53670962,1.12381702,5.6
12105,0.54396917,1.13626878,6.5
12180,0.58679737,1.16107117,6.1
